File Name,Simulation Time,STDW Rate Calculation Time,STDW computePerfRate Time,STDW Apply Time,GPU STDW Apply Time,STDW Apply Number of Calls,GPU STDW Apply Number of Calls,MSW Rate Calulation Time,MSW computePerfRate Time,MSW Apply Time,MSW Apply Number of Calls,MSW Data Transfer Time
NORNE_ATW2013_1A_MSW-165932-sim-output,1220.13,0.0,0.0,0.0,-1.0,0.0,-1,15.99461,37.31215,19.36718,1664226.0,0.0
NORNE_ATW2013_1A_MSW-183831-sim-output,864.72,0.0,0.0,0.0,-1.0,0.0,0,10.60582,24.73018,11.90674,133062.0,211.9796
NORNE_ATW2013_1A_MSW-200408-sim-output,958.61,0.0,0.0,0.0,-1.0,0.0,-1,12.35648,28.81174,0.0,0.0,0.0
NORNE_ATW2013_1A_MSW-214052-sim-output,1044.55,0.0,0.0,0.0,-1.0,0.0,0,13.81104,32.17878,0.0,0.0,0.0
NORNE_ATW2013_1A_STDW-171955-sim-output,237.44,0.73117,1.76386,2.01221,-1.0,451377.0,-1,0.0,0.0,0.0,0.0,0.0
NORNE_ATW2013_1A_STDW-185307-sim-output,222.0,0.75124,1.80519,0.0,2.36034851,0.0,53426,0.0,0.0,0.0,0.0,0.0
NORNE_ATW2013_1A_STDW-202009-sim-output,235.1,0.73252,1.76418,0.0,-1.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
NORNE_ATW2013_1A_STDW-215830-sim-output,219.91,0.75246,1.80971,0.0,-1.0,0.0,0,0.0,0.0,0.0,0.0,0.0
NORNE_ATW2013_2A_MSW-172354-sim-output,530.03,0.0,0.0,0.0,-1.0,0.0,-1,2.05914,4.80681,5.91581,494081.0,0.0
NORNE_ATW2013_2A_MSW-185656-sim-output,505.11,0.0,0.0,0.0,-1.0,0.0,0,2.1764,5.06905,4.79187,107306.0,176.61359
NORNE_ATW2013_2A_MSW-202407-sim-output,528.97,0.0,0.0,0.0,-1.0,0.0,-1,2.16947,5.05548,0.0,0.0,0.0
